date,time,d,day,sunrise,sunset,daytime,temp,lux
05/17/2019,14:15:00,0,0.59375,05:27:00,20:59:00,day,12.69,0
05/17/2019,14:30:00,0,0.604166667,05:27:00,20:59:00,day,12.69,53.8
05/17/2019,14:45:00,0,0.614583333,05:27:00,20:59:00,day,12.69,21.5
05/17/2019,15:00:00,0,0.625,05:27:00,20:59:00,day,12.594,21.5
05/17/2019,15:15:00,0,0.635416667,05:27:00,20:59:00,day,12.594,21.5
05/17/2019,15:30:00,0,0.645833333,05:27:00,20:59:00,day,12.594,0
05/17/2019,15:45:00,0,0.65625,05:27:00,20:59:00,day,12.594,0
05/17/2019,16:00:00,0,0.666666667,05:27:00,20:59:00,day,12.497,0
05/17/2019,16:15:00,0,0.677083333,05:27:00,20:59:00,day,12.497,0
05/17/2019,16:30:00,0,0.6875,05:27:00,20:59:00,day,12.401,32.3
05/17/2019,16:45:00,0,0.697916667,05:27:00,20:59:00,day,12.401,0
05/17/2019,17:00:00,0,0.708333333,05:27:00,20:59:00,day,12.401,0
05/17/2019,17:15:00,0,0.71875,05:27:00,20:59:00,day,12.401,10.8
05/17/2019,17:30:00,0,0.729166667,05:27:00,20:59:00,day,12.401,10.8
05/17/2019,17:45:00,0,0.739583333,05:27:00,20:59:00,day,12.401,21.5
05/17/2019,18:00:00,0,0.75,05:27:00,20:59:00,day,12.401,107.6
05/17/2019,18:15:00,0,0.760416667,05:27:00,20:59:00,day,12.401,75.3
05/17/2019,18:30:00,0,0.770833333,05:27:00,20:59:00,day,12.304,0
05/17/2019,18:45:00,0,0.78125,05:27:00,20:59:00,day,12.304,0
05/17/2019,19:00:00,0,0.791666667,05:27:00,20:59:00,day,12.207,0
05/17/2019,19:15:00,0,0.802083333,05:27:00,20:59:00,day,12.207,0
05/17/2019,19:30:00,0,0.8125,05:27:00,20:59:00,day,12.207,0
05/17/2019,19:45:00,0,0.822916667,05:27:00,20:59:00,day,12.304,0
05/17/2019,20:00:00,0,0.833333333,05:27:00,20:59:00,day,12.304,0
05/17/2019,20:15:00,0,0.84375,05:27:00,20:59:00,day,12.304,0
05/17/2019,20:30:00,0,0.854166667,05:27:00,20:59:00,day,12.304,0
05/17/2019,20:45:00,0,0.864583333,05:27:00,20:59:00,day,12.304,0
05/17/2019,21:00:00,0,0.875,05:27:00,20:59:00,night,12.304,0
05/17/2019,21:15:00,0,0.885416667,05:27:00,20:59:00,night,12.304,0
05/17/2019,21:30:00,0,0.895833333,05:27:00,20:59:00,night,12.304,0
05/17/2019,21:45:00,0,0.90625,05:27:00,20:59:00,night,12.401,0
05/17/2019,22:00:00,0,0.916666667,05:27:00,20:59:00,night,12.401,0
05/17/2019,22:15:00,0,0.927083333,05:27:00,20:59:00,night,12.401,0
05/17/2019,22:30:00,0,0.9375,05:27:00,20:59:00,night,12.401,0
05/17/2019,22:45:00,0,0.947916667,05:27:00,20:59:00,night,12.497,0
05/17/2019,23:00:00,0,0.958333333,05:27:00,20:59:00,night,12.497,0
05/17/2019,23:15:00,0,0.96875,05:27:00,20:59:00,night,12.594,0
05/17/2019,23:30:00,0,0.979166667,05:27:00,20:59:00,night,12.594,0
05/17/2019,23:45:00,0,0.989583333,05:27:00,20:59:00,night,12.594,0
05/18/2019,00:00:00,1,1,05:25:00,21:01:00,night,12.594,0
05/18/2019,00:15:00,1,1.010416667,05:25:00,21:01:00,night,12.594,0
05/18/2019,00:30:00,1,1.020833333,05:25:00,21:01:00,night,12.594,0
05/18/2019,00:45:00,1,1.03125,05:25:00,21:01:00,night,12.594,0
05/18/2019,01:00:00,1,1.041666667,05:25:00,21:01:00,night,12.69,0
05/18/2019,01:15:00,1,1.052083333,05:25:00,21:01:00,night,12.69,0
05/18/2019,01:30:00,1,1.0625,05:25:00,21:01:00,night,12.69,0
05/18/2019,01:45:00,1,1.072916667,05:25:00,21:01:00,night,12.69,0
05/18/2019,02:00:00,1,1.083333333,05:25:00,21:01:00,night,12.69,0
05/18/2019,02:15:00,1,1.09375,05:25:00,21:01:00,night,12.69,0
05/18/2019,02:30:00,1,1.104166667,05:25:00,21:01:00,night,12.594,0
05/18/2019,02:45:00,1,1.114583333,05:25:00,21:01:00,night,12.594,0
05/18/2019,03:00:00,1,1.125,05:25:00,21:01:00,night,12.497,0
05/18/2019,03:15:00,1,1.135416667,05:25:00,21:01:00,night,12.497,0
05/18/2019,03:30:00,1,1.145833333,05:25:00,21:01:00,night,12.497,0
05/18/2019,03:45:00,1,1.15625,05:25:00,21:01:00,night,12.497,0
05/18/2019,04:00:00,1,1.166666667,05:25:00,21:01:00,night,12.497,0
