id,site,species,bag,age,bb.Car,Chl.a,Chl.c1,Chl.c2,Fuco,Phe.a,Viola,Zea
d1A,MB,d,P1,0,0,1724.386199,131.4369701,19.32667224,1381.872288,0,0,88.17489645
d1B,MB,d,P1,0,0,2056.785777,124.7379935,0,1764.761868,0,0,0
d2A,MB,d,P2,0,0,1656.332352,118.491996,0,1351.924766,0,0,0
d2B,MB,d,P2,0,0,1094.158536,76.34441614,0,1020.698644,0,0,0
d2C,MB,d,P2,0,0,1261.654265,72.09136574,0,1265.782274,0,0,17.31684013
d3A,MB,d,P3,0,0,1766.664976,164.6304807,0,1432.388487,0,0,0
d3B,MB,d,P3,0,0,1020.31245,67.37358279,0,1014.201046,0,0,10.07615433
d3C,MB,d,P3,0,0,1196.169447,100.5289562,0,1049.385743,0,0,52.39793116
d4A,MB,d,P4,0,0,1248.641021,123.8503666,24.55695063,815.5459038,0,0,74.43011291
d4B,MB,d,P4,0,0,1215.111961,100.164316,3.287806901,1009.942932,0,0,7.272384475
d4C,MB,d,P4,0,0,1127.583988,99.15030593,14.20034423,825.5215894,0,0,20.5076939
d5A,MB,d,P5,0,0,2130.631067,148.0440229,43.61123068,1639.349368,0,0,0
d5B,MB,d,P5,0,0,2290.604506,130.0270533,0.054849649,1858.491027,0,0,47.23421557
d6A,MB,d,P6,0,0,1271.839294,100.5799031,0,1189.674025,0,0,0
d6B,MB,d,P6,0,0,1278.20874,104.0920474,0,1139.53405,0,0,0
d6C,MB,d,P6,0,0,1336.373516,99.82300867,0,1243.750919,0,0,0
h1A,MB,h,P13,0,0,1455.8019,134.1465213,0,1100.762367,0,0,0
h1B,MB,h,P13,0,0,1341.468397,96.13388817,0,1142.952575,0,0,0
h1C,MB,h,P13,0,0,1128.572924,82.11657029,0,943.0150003,0,15.97137364,0
h2A,MB,h,P14,0,0,1219.968878,90.83497967,12.25118461,1119.210274,0,0,21.75197387
h2B,MB,h,P14,0,0,1225.091037,105.6969477,0,917.2138555,0,0,0
h3A,MB,h,P15,0,0,1019.479745,81.14158302,0,850.2429308,0,0,43.42558667
h3B,MB,h,P15,0,0,951.0282897,66.31726388,0,803.0633793,0,0,45.68701887
h3C,MB,h,P15,0,0,890.139648,96.32968377,0,636.2926015,0,0,36.25891546
h3D,MB,h,P15,0,0,912.5773365,63.21205449,0,832.4765194,0,0,0
h3E,MB,h,P15,0,0,1020.030592,65.8083035,0,931.4699693,0,0,0
h3F,MB,h,P15,0,0,997.4010208,84.49591234,0,890.870292,0,0,1.00667599
h4A,MB,h,P16,0,0,931.1417486,75.38692795,17.3869937,835.0425723,0,0,55.25945611
h4B,MB,h,P16,0,0,1776.703945,94.35951122,11.84704374,1435.789418,0,0,102.7193152
h4C,MB,h,P16,0,0,1010.634607,69.933545,46.24301687,768.0146554,0,0,70.63932698
o1A,MB,o,P7,0,0,838.7235005,61.83095124,4.276144224,801.3578177,0,0,18.44579074
o1B,MB,o,P7,0,0,1375.661451,116.1171794,28.76688677,1078.123267,0,0,0
o1C,MB,o,P7,0,0,1363.911553,125.9055571,40.62548532,872.5837511,0,0,40.59345882
o2A,MB,o,P8,0,0,1205.700904,96.62688881,32.13038035,1099.128565,0,0,35.36228383
o2B,MB,o,P8,0,0,1071.234009,85.40929774,36.51687993,978.6184991,0,0,51.45097914
o2C,MB,o,P8,0,0,1116.662338,87.38141827,50.05758056,903.0532059,0,0,83.24770466
o3A,MB,o,P9,0,70.214677,1043.706992,53.3835175,39.7375998,799.5555343,0,0,0
